Text,Sentiment
Radha swami ji zinda bad,0
Dera Beas ke baare mein Socha Na Tum kutte Ki Maut marega,0
Bkwas bnd kro dere bare,0
Saleo pehla tan tusi daso tuhada tram kehra va tuhade vargi tan Saleo apne Maa piyoo de ni hunde tan kisi hor de kitho hovoge Saleo dusreya te tan akh Bari jaldi chak deo saleyo shak ke amrat pinde shraba te khande mashi,1
Tu apna vichar kar thareedaar Tu ha jareaa bukvaas kar rayee ha,0
Redha soami ji,1
Mt dekho is channel ko is channel ko dekh kr iske viewer bdha rhe ho or koi comment b n kro,0
Jee inna jor rabb nu paun lai laya hunda ta hun tak rabb vi inna nu mil jana sipunjab ch loka nu ik doje di burai kararn to ilawa koi kam nai insan di adat hi ho gai hai hr kise nu galat sabot karan di,0
Bilkul sach bol raha h ye driya da bhaav bdl ditta,2
WaheGuru Ji ka Khalsa WaheGuru Ji ke fathe,2
A dunia pagal ho chuki a Bewja dera beas nu badnam kr rhi hai  He sache patshah waheguru ena nu akal da daan bakhsho A dunia kise nu v nhi chddi,0
Tum logo ko or koi kaam ni hai kya tum gents ke Ander ladies chupi Hoti hai kya,0
Haramzadeo kuteo q bakwas krde aa Gurinder singh dhilo te ungli chukde aa dekho tuhada rehna kakh ni rab roop te ungla chkde aa tuhada kakh ni bchna haramio,0
Beas Sirf Rab de paghhti karan nu khaddahai,0
Eh bilkul galat aa,0
Sach ki te jhooth ki hai,1
Bakraya da langar gurdwara ohna di vaari aa,0
Phle da eh pic lawan da haak tere pio da h,0
RADHASWAMI JI pta nhi ki ne,1
Radha swami babaji maaf krna in nasamaj insaan ko,1
raab to dro,0
Lpada na khali salaya rees kro machda kio oo vasa mai keh kinu rahi hai jeeto rees ni honi,0
Akaal Chanel walo se apeal hai ki gurdwara sahib wich jo sewadar danga le ke khade hunde ne aur jo  rs ton wad matha tekda hai us nu wakhra parshad den te v koi channa pao,0
Mere baba radhaaa swami,2
Tee tuu galt hai tee tuu sachha Sikh nahi,0
Ja pata na hova ta kana ni chadaa,1
Kenna asan aa put  kar k bujho je dam aa te,0
Punjabi di  sc obc st brahman jatt ne joooot bhut ferna thode,0
Oh kanjra pehlan appani manji hethan soti fer,0
Jede kch Ni kr skde oh oo ohi bolde aa,0
Aj kl kuch nhi ptaa ky ho rha h jo bhi hoga samne aa hi jayga,0
Ram rahim to bad  teri Bari a,0
Dangar lok j chnga ni bol skde bura v na bolo ,0
Kinna bhonkdey ne kuttey halkey hogeu,0
kuta bhokda pagl lagda hi,0
           to    pea     fuddu   eda   statements  k punjab                 bss kr     wasta ,0
Loka wastay hospital free nay school free nay lakha logA nu roj gar dita,2
oye chore kya bak raha Kat dunga,0
apna ghr bachaaa saliyaaaa,0
a sab jhoot ha,0
Jo veera n Awaj chuki hai main ohna nu Salam karda wa paap da khatma Jarur hove ga,2
Kutta kamine bakawas band Kar,0
Dara Vich Ja ka ta dekhi,1
Kutte Kiya bakvas Kar Raha hai insaan jaamain main Sachin bolna seekh  baaki sabhi paartiyan or duniya jhoothi our tu saccha jhoothe tenu mouth bhee naseev no honi Tu kutte ki mout marega Radha swami ji,0
Radha Soami g sukh Rakhi Malka,2
Sab bkvas hai radha soami ji aa galt na bolo rab tuhanu akl deve,1
Tu  ganta smaran karda ha,0
Baldav singh g  ki hogiya bond kato pati teri  teri keda bond marli me,0
Main apni gall das dinda ha main  din   harmandar sahib Gaya ta bag jamma karvon laga ta  Sikh mainu bade gusse naal bola c te baba g de dere vich once koi nai bolda,0
Tunu ki pta yr RSSB bara,1
Baba g khud rabb hai,0
Kaka jeh mill giya Ta bachali Aapne aap nu je baccha hunda,0
Radha soami ji Bhulanhaar h g bakhs dyo,2
Kuttea bhonkn da ki faida kr k dikha j kr skda kujkhud nu dekh k bolkine k pani ch heii tubhonk bhonk hor bhonk,0
HEHE PUTTT NU GUSAAAA AAA GIYA KBJA KREGA HAHA,0
Tu apne babe nu mamna taa man lai saade Bana Di g insert na karo,0
Paise DE ke zmeena layiya ne jnab main v beas hee rehna Haan,1
Dhillona da munda,1
Panje Aungla brabr nai hundia,1
Hona bhi chahiye ye baba is SE bhi bada frame baaz ha Khali rape case nahi ha bas Paisa to ye Ram Rahim SE jyada kha Gaya Shabnam baba ki BV bahut business me partner thi,0
maff kariyo baba g eehna loka nu,1
dera beas sb toh jiyada pwitar h ,2
So shameful bbab maaf kari,0
Radhsawamiji lodu haiga,0
Radha soami satsang beas lunnn ne ,0
Bachalo mere sikh dharma nu  masanda ne babe nanak da sikh dharma khatam kar dita hai ji  Waheguru ji,0
Kuta bhunk reha sala,0
Pane daya kasma dara beas bare galat na bol tusay sakh koi kabjra nai kardey akalk hai teenu,1
Pahad  nal sir  maran vali gal kade ne,0
radha soami veer ji enna diyan gallan te dhayan na dea kro,1
Tary bap ki bi jamin h aja lala far chudu,0
Me hone kedi a radha Swami ji Baba ji,1
Makhu ji eh bik gaya hai Sant Na hote jagat main To jal Marta Sansar,0
Babaji maf krdo bande ko bichara nadan kuch b bol rha aap inko mafi dedo bhagwan dekh rhe koi pesa mila hoga bureau krne ka o pese shayd family ko kam avenge,0
sharma kar chore aaokarni wale sant ne sukhmani sahib  vich baya sant ka dukhi adh vich tuteykanjra modi nu bsamgho koi ki ki bana leya bandey wale kam karchup karke sarkari passa khai jaa,0
Bakwas Karti Hoon ta video Na Paya karo ,0
Eha bada bander ba es da channel nu in subscribed kar do uase anu pata tuse es bander da channel subscribed he nhi keta hona Jena Na video nu like keta oho ta maha pagal ha,0
Oye moorkho kdo akal auni aa thonu lokan nunale ajj tk baba g ne kde ni keha tuc Sade kol aaobhagti tan os ik malak di hi krni h tuc lok fr dharma nu le k baith Jane o nale ohna ne kde ni keha asi thonu aap swarg le k javage whateverethe  tan Apne krm ktne ne te bs rbb nu paun lyi aap bhajan Simran krna pauga kde nu sudhroge tuc lok eda hi ld ld mr Jana tucrsg wmk baba g sumatt bkhshan,0
Innu ta  deni chaiidi wa,0
Radhasoami apne dere sare hi km gurmat virudh karda guru granth sahib ji nu niva rakhke fer khud di kursi uchi karke baida sabnu satnam waheguru di jgah radhasoami radhasoami jpake apna hi gupt namdan vandke ghor neech km karda pya apne dere bnan vale lungar nu Gurunanak devji ya guru granth sahib ji nu bhog lgan di bjay apne ap nu hi bhog lake fer sabnu vartanda,0
Radha swami ch babe to bina koi hor sant baniya ,1
Sikha gurdwaraya di vaari aa Hun pathiya di vaari aa,0
loki bakbash krde neh radha soami ji,0
Radha swami kutta haiga,0
Baba ji the sukar hai,2
Tuna kaha ana vikhda ni,0
Rs ji bhli karo,2
Kise sadh sant bare jo galat cmments likhan Waleo kde sukhmni sahib parh ke dekhi a kise sadh sant di ninda di sjja,1
Befkof lok avi bakwas marn lge a,0
Akal hai Kya thuje kuch bi bole jaoge kisi par bhi kuch bholtejaoge,0
Saliyo jay ban hona chaheda tay saliyo sunde kio anpad sale,0
Saale fuddu bande sach jarya ne gaya,0
Moot pene sale fuddu koi logic hyga thodi gll ch,0
Oo fuddu bnde  sacchiya glla nll lg gyii mirch,0
Fuddu singer aa  no da,0
sab vaddi fuddu sarkar india di ik a sala vadda mantri fuddu saleya sach kudda hi lagda,0
Sach te jhootha hi lagna ehna fudduan nu gau de naam te bande maar dende ne patthar hi ne jiste dudh paa pa rodi jande ne na kisi de tidd penda na kuch ,0
gall bhavnawa nu thes pohchon di gall aa ty kro arrest news chanela valeya nu sale fuddu bnai jande,0
gall bhavnawa nu thes pohchon di gall aa ty kro arrest news chanela valeya nu sale fuddu bnai jande,0
sach ta sach aaa eh kuj marji boli jan nale ehna de kehn nal kuj ni hon lagga aaa police v smj sakdi aa ueei chak k muh parcha kri jandde aw ohi geet vich sach kea greeb di koi ni sunda fuddu lok aw eh veere tu kirhe fsss gya hun ta time pass krn wali gal hoyi pyi aw yr,0
Koi galat gll nhi kiti  Bilkul shi song aa  Suchh sunn k sbb dii dukh dii aaAa BC fuddu bande,0
Iski himmat kaise huyi bhagwan shiv aur gau mata k baare m abuse language use krne ki plz to itna hi h to apne gurudware k baare m galat bol k dikhao saale fuddu bande,0
fuddu banda,0
Bai me ghato ghat  hindu friends nu song send kita ki eh ch galat ki a sb ne kiha bai is Bs Sacha Hor kuj galat ni ise lai ihna  fuddu bandiya nu hi galat lagiya kyonki eh mahamantri a hindu dharam da pr hindu ni hai,0
Landu singera agge dharma ch jiadaa ekaa jehda agg laun lagea kutea paise   te shohrat v lokaan ne  hi dene aa par  tain sabit kar ditta v tusi dangerlok agg la ke  hi rakhni aa Maha fuddu singer sala kutta,0
Ehe sale fuddu singer sirf hindu dharm nu hi kion target karde aa ena salea nu apne dharm vich ni kuj mada lagda sare hindu veer kathay hoke deo bhain di lun ehe jihe wehlad fuddu gaika di,0
Ehna bhenchoda singra nu saaleya nu hoya ki  char mahine baad koi na koi mudda kr dende aa pehle ohne bhenchod musse aale ne gand paya c hun aa sala chutiya puri duniya da fuddu bnan lgge aa singer haramde,0
Police wale fuddu si eda service rifle chlon kida de diti,0
Fuddu aa mooseeala,0
sala hun te eh saddi najra ch gir  e gya lok sach e kehnde esde baarey fuddu banda eh sidhu ak e chalaani foaj ch bharti ho janda fukra sala,0
Fuddu mooseaala  pehlan gouna tan sikh le baad ch kar li eh gallan,0
" ruppees da net pack
Saleya tu ta  ruppess avde muh te la 
Bhain deya lodeyaa  inch de foodey hoye paye ne 
Bhain da yaar saala gaandu fuddu singer",0
Akay fuddu,0
Sabh to fuddu A kay pehla apni history dekh,0
Ihh sare fuddu bande ne lokan de sir te hawa karde ne except Diljit Kalank on punjabi singing ,0
Ak chutya ha phanchod fuddu sala,0
Mankirat sab to fuddu,0
Fuddu akay,0
Fuddu akay salla,0
Akay sirre da fuddu,0
alay sala fudduu banda,0
A kay fuddu,0
ammy virk siraaa da fuddu banda fukra,0
A k fuddu sala,0
akay sala fuddu  behnchod lun warga moh a sla fuddu ja,0
A sly A Kay apny ap nu Sab da payo dasda enu e dso saly nu vi asi mahiny da  da ta net pack paye da sla fuddu apny wargy samj da sab nu,0
Mankirt aulakh fuddu,0
A kay fuddu,0
Fuddu baba,0
Maha fuddu,0
Fuddu sala,0
kiok janta he fuddu aa,0
PATARKAAR HI FUDDU BANDA AAHA    JAGDEEP SINGH THALI BAI DA INTERVIEW KAINT HUNDA,0
fuddu sala,0
jony baba fuddu a kuch ni pta lode nu ave khunsia pori jnda,0
Fuddu person ik ik gal jaan da teri mai  Wala baba bniya farda,0
Loda banda aa baba fuddu,0
"fuddu saala 
chutiya banda bhenchoda
kutti naal ki karda hou salya",0
Bhen choda fuddu bna reha,0
Fuddu,0
Fuddu sala,0
Aa kerha fuddu nva market ch aa gya,0
Sala de muuuhhhh toh hi pta lagda v fuddu bna reha,0
Mai sidhu da kattar fan aa but agar eh gal sahi nikl di aa ta sidhu to fuddu bnda koi ni,0
"Yaari tod k tu party badal da bs eni ki aukaat ya vishwaas si tenu jma fuddu nikle byrd te malton tusi tan
Thoto eh umeed ni si",0
Fuddu bnaunde aa khnde  saal ton koi payment ni mili eve kehra km krda  bina paise aa ton eh bahar ale  tan onjh hi ni paise ton bina kuch krde,0
Sirre da fuddu bnda nikleya tahi sarre shd ke jaa rhe aa ohne,0
Tuhade fufar ne reply krta dekh le oo sale fuddu,0
Phir ta fuddu Banda sidhu pencho paise piche ja oye fuddu a tere to eh umeed nhi c,0
Sidhu bnda innocent aaa oh kise nll glt ni kr skda eh sale dove fuddu aaa sidhu di support kro yr,0
Fudduo mai tuhanu jaanda ni c sidhu de ganeya vicho pta lga tuhada ki tuc v haige o duniya te nd ikk gal hor saleyo j tuc ohde nal yaari paayi c te yaari vich paisa he fikk paunda aa nd ikk waar yaari da v soch lainde ine gaaneya di v payment kiti he hou ohne oh free te ni c hun v koi majboori hou late ho gya koi vaddi gal ni c yaar c tuhada rahi gal j banda  waar kise da changa kr dye nd ikk war glti kr dye te oh bura bnn jnda aa  waar kita changa kmm ni yaad rhnda,0
fuddu sale dono  jihde krky rotii pye sale ose nal gadari krge peo a thoda sidhu  bhuloo na ,0
wajho lokaa nu fuddu bnon te lagge,0
Saala sidhu hee fuddu aa BC ego problem aa sidhu nu,0
Sale fuddu ode ghar roti kha k ode thali ch ch mogga krde aa fuddu bnde ada ne chad de putt ada ne badnam hunda jatt tusi bhul jo ,0
Ah jehre saale sidhu nu gaala kadd de aa Oh saaleo cmnt waleo tuhanu ki pta eh sch bol rhe aa k jhuth aglea da koi gaana chl nhi rea ta krk hun fame lain lyi sidhu khilaaf bol rhe aa  Baaki sidhu nu leak krke ki milu aapde song ohnu kehra leak gaand da koi paisa milda Fuddu janta fuddu soch,0
Kam karwa ke paise ni denda utto phone chakdahnkaari fuddu moosewala,0
Fuddu bndde sale,0
Fuddu a sidhu ghuse wala  sala hai e government da dlaal,0
Tusi yaar mar karde o Fuddu sala,0
Sale fuddu bnan lgeo aavda channel bnaya aa game ponde,0
Sidhu fuddu a,0
Sidhu fuddu bnda sirre da,0
Fuddu mossewala,0
comment for bigbrd nd malton  yarr eho jahe kmmm ni krde jo tusi kita eh kitho di yarri a paise piche roi jne o nd je koi eda di gallhegi vi a solve apne app ch kro ethe bb tu yarri te klank laa reha paise mere kine yarr ne me lene vi ne dene vi ne asi tan kde publicly hoye ne fuddu gll krti tusi  me kise da supporte ni hega but aw galll jwa fuddu a ja tan ik duje nu yarr na kaho ya piase tkk rkho je tusi foreign toh ho ehsa mtlb eh ni dudh dhote ho ik coin dian  side hundian ne bina duji jne kise nu mada chnga na bolo loki bus bheed chal ne ajj jo sidhu nu galla kdd rhe ne kal ohi kehnnde c bai sira hun sira kithe gya oye  loko  bb te malton ne bhorti vdo uplod krke nd tusi teaser di gall kiti a tusi leak hi kita ik gallon kise di izazat ton bina kiwe ohda song leak krdoge yr music tuhada ohvi mnli but tusi ik war vi keha ki ohnu call krke vi  teaser lon lge a chl ohvi shad tuc release krta ohne je call kiti hou gallan kdd tian hongian vi ki kita sry bolke del kr dinde but tusi ethe publicly sirf paise de lay aye ho hor kujh ni saaf dikh reha,0
Fuddu bnde,0
"Sunny malton is right bigbyrd also right full support 
But sidhu is not doing right is fuddu sala tempu",0
Fuddu byrd and lunny malton,0
fuddu ne eh dono,0
Theyre correctsamne aake bol rhe nesidhu astaad paheliya bna rhafuddu bna reha fans nuhun akhaa kholo te sach di support kro,0
nice bro shidu fuddu bnda,0
Sidhua legend nhi a tu puttea gana kddya apne aap nu kya tu te tu v fuddu  te loka ne ik dooje mgr lggna hunda Karn aujla da sath koi kyu no shd da tere nal e kyu madi krde  kyuki tere toh khar khande ida kyu  tere toh  machde a  nhi veera machde nhi tu jaan ge pnge lena j kite takkr gya hna chaj da  pishe paa k dhoona tenu salya  ,0
Sidhu da haal ta menu pehle din to pta sala awein chawal mrda renda jehdaa rab nu challenge krda song ch kini k akal hou onhu eh ta koi vi smjdar bnda smj skda bus fuddu bnde att bai ji eh bai ji ohh bai ji krde atom bomb bai ji hahaha sale murkh log,0
Full support sunny and byg bird Sidhu loka nu fuddu bnayi janda hai Te chamche fuddu bani jande hai Sala chahnda hai ki main hi main famous rva naal de mere koi agge na vadhe Sidhu Haram dya payment ta hundi ni tere toh  aapde loka vaste vi Matalb hun live aa ke ro ke apne chamcheya nu vikhauga te emotional ho ke aive ho gya ji te chutiye log fuddu ban jan ge,0
Fuddu bnde ne sale ih,0
Gaane leak sidhu sala aap krda phencho fuddu bna reha janta nu,0
prof ve de dede koi fuddu lok,0
Sidhu sire da fuddu banda yr sachi,0
fuddu bande,0
Sidhu hai e fuddu aa,0
Pehla ehne aujle te jandu nu fuddu bnaya fr kanwar grewal nu jihne ehnu canada sambhya cPBX hun brown boys da fuddu bnata ehda km a use nd throw sidhu apne live ch v eda e bol reha sare meri lattan khichde ye vo kyuki ohnu pta a k lokan ton sympathy kida leni a Jehda bnda apne yaara da ni ho skda oh hr kise da kida hou,0
Fuddu moose wala sala fukra,0
punjabi bol laa sala fudduu,0
Fuddu londe  donno he ,0
Bc fuddu gallan sirre diyan beh ke gl kre sidhu je jatt da putt aaah kmm  wale thorri neja yr aidi gl keh gye eh tu sun kiwe lya nal di nal clear kr je sidhu sacha,0
Mosseala fuddu aa byrd te malton kind hearted bnde ne straight forward ne pr kusse ala chlak aa,0
Fuddu bnai jnde aa sale hun  j enna ne msg kita c psea vste sidhu ta oh chat v show krrn fr nal hun ta gllan da kdaah bnona e aa enna slea ne,0
"I think he is not sidhu moose wala
He is fuddu ghoose wala",0
Astaad ignore kar fudduya nu  salleyo kuch apna kro Astaad waiting aah Next Track di,0
O fudduya  aape  chadi jana loka  de peise de pehla   bc da ,0
fuddu aa Vicky apne jigri yar te var kita,0
Sala fuddu h,0
fuddu gagster saala,0
salute a veere nu  hamesha saath ditta jigre wala c e sab kmm leaders da c fuddu politic india di  sukha kahlon hamesha saade dil ch rhu jigre wala c joh glt c uss de khilaaf bolda c saarean  da saath ditta,0
"Fuddu youth Punjab da
Bhan chodo je marna ta shiv Sena di maa di lun de ke mar jao 
Fuddu fukrey apis Vich lrr lrr mri jandey saale",0
bhenchod maha fuddu editing ju dassna oh daseya nahi,0
Fuddu c sala,0
Sahi aa police ki krdi c saleya ne fuddu samjheya lokka nu hatheyar ki police nu dekhn nu ditte gye c,0
na maa baap hun ronde ae pehlan nai c pta v munda sada ki karda  te fuddu saale loki jedde hero banunde eho jahiyan nu,0
Police he fuddu c sali banda ni mada c par police ne bna dita,0
ik fuddu news wale jerde youth nu eda diya video bana rahe va te loka nu kida diksha rahe,0
R S chor aa ranbaxyforty hospital wale brother da paisa kha giya ini jameen jayedad kitho aa gyi hor ehda bappu de giya inu sale lok v fuddu aa lagge rehnde aa kam krn free ch sewa aa g sat sang ch ,0
Fuddu lok  bhonkde e rehnde Enna loka nu pta e kuj nee   Radha swami baba g  ,0
Eh kehda akaal takha aa fuddu lok,0
Ek nika jeha channel aa te gll ene vdhe guruya di kya baat aa eda krn nal channel ne mashhoor nhe ho jana loka dea njra ch akal to fuddu koi channel nhe aa,0
Jida de aap fuduu sale oda da channel fudu jeha bna lya aa nhi salyeo kito paise aaunde hath ch thootha fad lo te mango gaandu jehe channel na bnao te na hi loka nu fuddu bnao sale gaandu aaps vich hi lge aa phn te vehle baith k hor ta ehna nal koi bolda ni hona,0
Guru sahib di gurbani nal jorde aa and aap daily fuddu news vich aaunde o,0
Fuddu pind ithaas ch Fuddu pind de name likheya giya,0
Pind wela hi fuddu aa sala bnda dekhlo kida di gl krda pye etho hi pta lgda kida de bnda aaa ehh,0
Saaleyo darbaar sahib wich te corona virus waleya nu  darshan lai nahi wadan de rahe Fuddu bana rahe,0
Fuddu na bnao lokan nu coronavirus hoya c tan ni loki aye,0
Fuddu lok ne sale Name nal bhai sahib launde ne Verka nam hi bura lagan lagg gia,0
Wah ji salam a singh di soch nu fuddu banda,0
Ja oye fudduyo ehni ghatiya kism de lok oo tusi verka valao masse Ranged nalo tusi v ghatt ni,0
oye pakahndi loko bs kro oye ehh sv jaat paat kr k hoyea tuci sikh akhvaone o apne aap nu bhainchod fuddu jatt sale,0
fuddu lok verke pind de,0
Fuddu banda lagda sukhdev v,0
Dislike krn wale pakke fuddu aa Rss wale hone,0
fuddu video aw ke aw,0
Saleya rab nu ta chd de penchode tenu hounga hunn coronabne firde Apne ap ch tu saleya Dede paise greeba nu ehne paise kmonda sala,0
Bhnchoda sala ak kay oh tam bhulll gya jado sukhe khlowa dei magre rhnda c  penchoda paji ik gana sposer krdeo sala fudu heya ,0
Eh penchoda sareya nl hi lad da rehnda fudu sala,0
Ehna di bhen da fudda roti Ghar khaan nu nayi mildi saale nang badmashchor penchod saale ahhh landu jede support karde fuddi de ehnu hana oh sab naalo gaandu bande asaale internet de badmash penchod,0
Sukha veer  ik dam chagga banda c  Penchod Jena  ne us nu Mar baia   Goundar d  pen di lun,0
Penchodaaaaa meri dadi de  plot c vdainch pind vch jedi asi una de jinde ji  dera vch Milan lai accepted ce diti dera valo  offer diti  guna zada paise di una plot nu bina paise lite ona nu de dite tu kena zabardasti kabja krde e tu kise di ik marle te kabja kar ke dikha de,0
Penchodo rssb baba g bare jo mrji bolo kutte di mout marroge glt bolde jo,0
najara hi hun aaiyawahe guru mehar kare bhai sahab te,2
Vah bhai vah Mera veer Ranjit Singh ji hamesha chardi Kala which rakhana waheguru mehar Karen ji,2
Karam c bai tere te tere maa bapp de waheguru mehar kare,2
Sukhe tu yaara yara di Jann c miss u bro babba mehar Kare family te,2
Bhai sahib Lado na bhai sahib shabad naal Jude San ohna de Sanskar lai agar oh jagah de rahe c ta Sanskar is jagah te Karan ch ki haraj c tusi keyon apni kaum nu keyon uchhal rahe ho Waheguru Mehar kare Sikh kaum te eh Sama behas Karan Da nahi sago saari kaum ikkathi ho k es mahanmari naal Ladan Da hai  ,2
Satnam Waheguru Ji Mehar Kare is parvarti,2
Waheguru ji mehar kare,2
asi veer app ji de nal hain kayion ke sade pita ji bhai sahib bhai nirmal singh Khalsa ji jina ne sikhe vich te nam kamya hai te guru valmik ji de kom da sir be occha kita hai bhoot he dukh Hoya hai sanu parmatma  mehar kare,2
Waheguru ji mehar kare,2
koi gall ni bhraa ji koj ni hunda malik mehar kare ji sab te,2
Waheguru Mehar kare Salute,2
Mehar kare waheguru,2
Waheguru mehar kare sister tuhade te,2
Suchi life tee suchiii life story  sunayee Salute hai manjit jiitusi bahut brave hoo or sannuu bravly bananun de lyee bahut bahut thkuuwaheguru thuhadi lifee vadia to v vadiaa karee Diloo salute haa thuhanuu jii Waheguru mehar kareee ,2
Waheguru mehar kare ,2
I love eat cow meat Every day sodi maa sare pase kute de mot mari jandi a sode sale hindu kithe c jado sodi bund Muslim mana ne sodi bund padi c na sala soda koi shiv aya na koi hor fer sade guru pita g ne apne pita sri g kal ke sodi help kete c Te tusi kute sadi kom nu ke dita sale kanjaro Sale bander,0
Ah jassi gil fukra sala fuddi da chundi jya saleya aap ta tu utrya nai kanjari deya bachya apne body guard pej te hahahaha sala landu fukra kose kanjari da fuddi dya dam hunda ta apne kkutteya nu na pen da agle v lun theeka kari firdi hath ah janda tu te terr sangi ch ferna c,0
Payee daadual tae kanjar ha ohnoo chado Harpreet Singhparchee vich niklyA  akaaliya da banda ha MAjooda vivad harpreet Singh chaahv taan ghaitae  Ander vivaad Hal ho jaavaepar harpreet Singh Dee mansha hee nahee,0
Fudu media valeyo tuc Harnek neki gandi nali de keede da naam he kyu lende hoeho jahe kanjar da naam he na leya kro tuc media vale kise v bande nu mashoor kr dinde te kise nu v badnam kr dindebut tuc fir v bakia nalo sahi news dinde ho,0
Jutya maro saale de shakal ton he kanjar lagda saala,0
Oye Majhail Gaddheotusi taan apne aap nu Rabb de nere samjde ooAkhouti Jodhia dia vi  Taksaala tuhade kolDarbar Sahib ton Paani tuhada Jall liaa k paa dinde CORONA lahi jandaKanjro tusi apna Rabb hun lagda Peetian ch Bandd kar k baith gayeMook maar gaye tusituhade ch enni Nafrat Guru de Sikhan lai jaat paatDar te dar karkeMar Gia Ajnala Mar Gaye SGPC wale KanjarBadlan da Gounh kaahn nu ne bass Sharm karo Gaddheao Klanlk oo tusi Sikhi te,0
Ilaj nhi hoya khalsa g da hospital vich bhut gand paya doctora ne  ena noo koi v kanjar nhi pushda  apne apne ghara vich ena clinic khole va lakh lakh pay va ena di  sirf do ghate hospita rehde va,0
INDIA THA HOSPITAL DANDGAR NA DOCTOR NA NAIL NA KANJAR NA kuta dr,0
aho jahe kanjar bhara jihna madad ta ki karni c Ulta Sara kus bhehn da barbad karta,0
Kyu fiker karde ho eho jehe kutteya dian marhia ch nhi hoya,0
Kutteya doctra ne ouhna di care hi nhi kiti aa,0
Bapu jyada na boli ja nhi ta agla no tera teriya laterian sukhei ne he banwayai c bhul gya madarchod,0
And fand khand ko Sidhu ko bura khe uske muh me mera lund,0
Sidhu bhi aa saly lundi buchi ny   tenshn not    pakistan syalkot,0
Kalja vlundrea pea,0
Waheguru  bahut mara kitta tusi verke waleo tusi har sikh da hirda valunder ditta tuhanu kinniya bad aaseesa mil rahiya me te kaeeyan nu eh kehandeya suneya ki saray verke waley karona nal mar jan  Waheguru bhala karay,2
Chutiye log ghangor chutiye gaane to maha chutiye,0
Oooh sale Chutiye a key jo tu Hume Bolra he na ki Humari koi aukkat  ni he Sale Ye na bhul tu aaj jo Kuchbi he na wo Humari wjah se he Kyuki hum tujhe sunte he Jiss din sunna band Kar diya na Uss din lull Ho jaoge,0
sare k sare chutiye hai,0
Ghati gane Chad do akl krya kro shram kro Ranjit ,0
BALLE BABA JII,2
Oo balle shubh bhai ajj Dil Khush Ho giya live sunn ke wah wah chooote,2
Balle jatta lotss off luvv uu,2
balle bai jattaaaaaaaaa bhlla chnga band sachi love u aa bai,2
So nice Very good  balley balley sister ji,2
shukar aa ohne sirf pathar hi keha lan  fudi di puja karde eh nahi keha jo sach a ,2
Shukar karo parmatma da othe  koi jaan maal da nuksan ni hoya,2
Veero Banty aa ki Eho ji Interveiw dhume di Ajnale di ate Jathedar di vi lawo Tan Swad augaDhan aa Bhai sahib jihda kala sher hi Sarrea di Tasali krai janda je kar mainu bhai sahib nal sewa da mouka mil jawe tan Govt di job chad dewangashukar aa ki koi hai jihdi jameer ni mari,2
Haye shukar reply aya legend bnda sidhu ustad love u,2
Eda da ta kuj nai boleya veere ne,1
Sach nu hmesha faansi hi lgdi ayi VA Ranjit Bawa veere nu sir jhuka k slaam jo ohna sch gaaya VA Bajrang dal ya shiv Sena di TN ESI tesi hundi hi rhndi h kujh Smee bad Soori te case kuu Ni krde nle ohnu ghre bithado koi Singh sodha na ladve,0
Sach hi to boleya hai veere ne sunke mircha kyo lagi jio veere Ranjeet bawa kya baat hai mere des ki bukhe bande layi koi dudh nhi te patharan nu dudh chadayi jane yaki mat hai loka di,1
Diljit veere ne Situation nu bhot Professionally hendle kita Lubb ju veere  Thioo haters te fukre loka di chaddi ni hoi kadii,1
Kehre school gaya a veere  Othe ginti nahi sikhaunday   toh baad  aunda aa  nahi   skip hi kargeya  Lol,1
lub u akay veere,2
Elly veere God bless you,2
Sirra elly veere bnda tu scha yrr bhai,2
Veere end krta tusi,2
Keep it up elly veere,2
Lov u Elly Veere,2
Siraa veere ji,2
Elly bai Full support h veere,2
Yrr jo vi  Aa please jo Sacha ohda sath diooo veere,1
Elly Bhaji straight forward person o tuc  god bless u veere,2
Elly veere baki gal teek aa tuhadi pr tusi rami randhawe di family ware galt nahi c bolna,2
Bhai sahb ji salute aa tuhdi soch nu te aa ptrkar veera nu v benti aa k veere ik pase di gl n kro or tuc v chle jayo tuhadiya kehdiya tutiya ne tuc hi ja k puch lo,2
 love ju veere ,2
Veere Kuch galan Sahi v keh reha Baba,1
Love youu veeree,2
veere tuc sare kehnde o v neela baba galat banda per mai babe de nal a kyuki veere jo saccha hunda na ohnu kise di prwah nhi hundi eh best a yr  Agla sidha bolda jo galat hunda ohi jijhak rakhda but ehna vich koi jhijak nhi hegi,1
love you aa veere love you a ki aap ji koi singer o ,2
Kuteya nu rabb dasan waleya ajj rabb ne dikhayeya na apna aap veere hale v sudhar jao,0
Love your veere  ja yaar sand hi niklea,2
Veere  aps ch bai k gl nbed lo ami live ho ho loka nu explain krn lge o loka d km t suaaad laina jide nl apa vrtna ohna nl   misunderstanding dur e rkhni chydijo tu sade mure bol reya ohi sidhu mure knda t koi hl v niklda gl vd di naaa,2
Veere English CH gussa na kro kanak de paise jis din artiye de dete thanu v mil jnge  cement reta wale nu v oss din he bhulia tc v ajao,1
